symbol,name,rank,is_active,first_historical_data,ticker,marketCap_1E9
BTC,Bitcoin,1,1,2013-04-28 18:47:21+00:00,BTC-USD,892.588916736
ETH,Ethereum,2,1,2015-08-07 14:49:30+00:00,ETH-USD,365.700251648
ADA,Cardano,3,1,2017-10-01 20:34:25+00:00,ADA-USD,85.157462016
BNB,Binance Coin,4,1,2017-07-25 04:30:05+00:00,BNB-USD,80.098328576
USDT,Tether,5,1,2015-02-25 13:34:26+00:00,USDT-USD,65.478918144
XRP,XRP,6,1,2013-08-04 18:51:05+00:00,XRP-USD,52.557361152
DOGE,Dogecoin,7,1,2013-12-15 14:42:34+00:00,DOGE-USD,37.115588608
BCH,Bitcoin Cash,13,1,2017-07-23 16:29:27+00:00,BCH-USD,11.886005248
LINK,Chainlink,15,1,2017-09-20 20:54:59+00:00,LINK-USD,11.498950656
LTC,Litecoin,16,1,2013-04-28 18:47:22+00:00,LTC-USD,11.457790976
XLM,Stellar,21,1,2014-08-05 05:44:19+00:00,XLM-USD,8.160445952
ETC,Ethereum Classic,22,1,2016-07-24 13:44:30+00:00,ETC-USD,7.986604544
FIL,Filecoin,24,1,2017-12-13 20:40:00+00:00,FIL-USD,7.282532352
THETA,THETA,25,1,2018-01-17 17:34:26+00:00,THETA-USD,6.913782272
TRX,TRON,27,1,2017-09-13 01:15:22+00:00,TRX-USD,6.00669696
XMR,Monero,28,1,2014-05-21 01:41:13+00:00,XMR-USD,5.43908864
EOS,EOS,31,1,2017-07-01 19:14:14+00:00,EOS-USD,4.7773056
NEO,Neo,38,1,2016-09-09 03:09:33+00:00,NEO-USD,3.787587328
MKR,Maker,40,1,2017-01-29 19:19:37+00:00,MKR-USD,3.515241728
XTZ,Tezos,41,1,2017-10-02 15:59:43+00:00,XTZ-USD,3.496037888
MIOTA,IOTA,46,1,2017-06-13 14:30:09+00:00,MIOTA-USD,2.850677504
DASH,Dash,50,1,2014-02-14 13:44:09+00:00,DASH-USD,2.48900736
